"cluster1","cliuster2","cluster3"
"CD74","VIM","CD74"
"FTL","ACTB","ACTB"
"ACTB","PKM","VIM"
"VIM","DCT","FTL"
"PKM","ENO1","ENO1"
"ENO1","FTL","PKM"
"HSP90AA1","HSP90AA1","PABPC1"
"CD44","TYR","GNAS"
"PABPC1","PABPC1","TNC"
"TYR","TIMP2","HSP90AA1"
"TIMP2","CD44","CD44"
"GNAS","CD74","TYR"
"TNC","GNAS","TIMP2"
"MCAM","MCAM","RPL18"
"CD59","CD59","HSPA5"
"TMSB10","TNC","CD59"
"ERBB3","ERBB3","TMSB10"
"GRN","AC005747.1","RPS20"
"HSPA5","HSPA5","ERBB3"
"GSTP1","GRN","MCAM"
"DCT","ITGA3","RPL31"
"RPL18","RPS20","GRN"
"ITGA3","RPL18","RPS5"
"RPS20","GSTP1","AC005747.1"
"AC005747.1","CSDE1","DCT"
"CTSA","TMSB10","APLP2"
"RPS5","RPS5","SEC61A1"
"CSDE1","RPL31","EIF4B"
"RPL31","YBX1","RHOA"
"PLOD1","LZTS1","CSDE1"
